Word 1,Word 2,Cosine Similarity
admission,ticket,0.08710203803949051
alcohol,chemistry,0.14672640754920035
aluminum,metal,0.19676996657887513
announcement,effort,0.005147377475712191
announcement,news,0.07973264951950008
announcement,production,0.08610710021590506
announcement,warning,0.12003319073456656
architecture,century,0.029979178806347203
arrival,hotel,-0.014645082769169844
atmosphere,landscape,0.11751893589234949
attempt,peace,0.14505972595130637
baby,mother,0.05839291756323303
bank,money,0.08674359816444967
baseball,season,0.04586180862436693
bed,closet,0.12471990061450217
bird,cock,0.15194306371124514
bird,crane,-0.0032982123375455696
bishop,rabbi,0.007436031375002464
board,recommendation,0.09470181659334818
book,library,0.054616877182409776
book,paper,0.05561017391920409
boy,lad,0.14596779958952716
bread,butter,0.20525887594490672
brother,monk,0.09603735421503992
calculation,computation,-0.008273390577179244
canyon,landscape,0.07328164879093098
car,automobile,0.04744956409013828
car,flight,0.054798702185305456
cell,phone,0.01627784817179776
century,nation,0.10458566300026437
century,year,0.24807277097109662
championship,tournament,0.09741199198343788
change,attitude,-0.08708625984844845
chord,smile,0.11250124970251611
closet,clothes,0.03339630969926301
coast,forest,-0.05521116841140152
coast,hill,0.051442110575299085
coast,shore,0.13227195236410802
company,stock,0.16663291382607504
competition,price,0.07730653294236113
computer,laboratory,-0.026553458637616517
computer,news,-0.034202316358563266
consumer,confidence,-0.008457894368757303
consumer,energy,-0.0044868910934025156
country,citizen,0.08335343692513592
credit,card,-0.05491569313443412
credit,information,0.08359158857276335
cup,article,0.03884092901554167
cup,coffee,0.06102734409221957
cup,drink,0.2127008386546041
cup,entity,0.05312587998950913
cup,food,0.003032968352057863
cup,liquid,0.15030002926938135
cup,object,0.09195108666655746
cup,substance,0.10728066784864046
currency,market,0.05211227291781354
day,dawn,0.022906021680583293
day,summer,0.13954492660082143
death,row,-0.005142875859638915
delay,news,0.017369561366301228
development,issue,0.10950755829378404
direction,combination,0.21496357382642195
disability,death,0.0871147667871166
disaster,area,0.02601792889402057
discovery,space,0.04567933905206789
dividend,calculation,0.047157565316933305
dividend,payment,0.15432061651325624
doctor,liability,0.02653072855031907
doctor,nurse,-0.048934810891361175
doctor,personnel,-0.011145832115009737
dollar,buck,0.10982049855816449
dollar,loss,-0.0044124337904689415
dollar,profit,0.11085261218405489
drink,car,0.11836906275740229
drink,ear,0.03541545625615912
drink,eat,0.1319319156495467
drink,mother,0.20659306530008129
drink,mouth,0.0881459584447495
drug,abuse,0.05031263378642176
energy,crisis,0.16873757513532175
energy,laboratory,-0.022972797864911382
energy,secretary,0.014775135933386597
equipment,maker,0.05109413346385398
experience,music,0.006900363264093393
family,planning,-0.01947249847579243
fertility,egg,0.03436799209433865
fighting,defeating,0.07987175829886457
five,month,0.10070178296036432
focus,life,0.05336809097375252
food,fruit,0.14168563751112967
food,preparation,0.07054663405761948
football,basketball,0.14215345786569983
football,tennis,0.20264307234360718
forest,graveyard,0.07153753761948052
furnace,stove,0.06556620729740782
game,defeat,0.13115848932882498
game,round,0.16986902435432072
game,series,0.10629450265335616
game,team,0.04284616210690016
game,victory,0.16646217241032904
glass,magician,0.07284279048611407
glass,metal,0.062874168678654
government,crisis,0.13797688753805493
governor,interview,0.07878601652396873
governor,office,0.028457886095829055
grocery,money,0.10665935264307286
holy,sex,0.05103067386683625
hotel,reservation,0.09056231161187539
hundred,percent,0.1296407231567199
image,surface,-0.0051900475071053175
investigation,effort,0.04510195218359656
jaguar,car,0.034281121328506005
jaguar,cat,0.15306212608946873
journal,association,0.061823500092081554
journey,car,0.03717045380940046
journey,voyage,0.21056852814908344
king,queen,0.019976184280151542
lad,brother,0.08261677189976877
law,lawyer,0.11769490308828766
lawyer,evidence,0.11515859880458522
liability,insurance,0.02363338854659827
life,death,0.0856435523200801
life,lesson,-0.01797949439359734
life,term,0.0722815831283673
line,insurance,-0.05100656998501508
liquid,water,0.12292151105538413
listing,category,0.0986132092750715
listing,proximity,0.08147168058723482
love,sex,-0.005555757548189534
lover,quarrel,0.11232124509079615
luxury,car,0.0724535537309593
man,governor,0.09317612128862371
man,woman,0.20215085484514478
media,gain,0.056938180197758655
media,radio,0.09923956582139674
media,trading,0.09220622467493293
midday,noon,0.08458668452910771
mile,kilometer,0.21235606232720727
minister,party,0.06051184848687912
ministry,culture,0.10377031718676136
minority,peace,0.09721165879384157
money,bank,0.08674359816444967
money,cash,0.06942497741282072
money,cash,0.06942497741282072
money,currency,-0.02901604474516184
money,deposit,0.0021734263678947407
money,dollar,0.12266718719723346
money,laundering,-0.05612887094874882
money,operation,0.26901217245198555
money,possession,-0.016519490818807294
money,property,0.051316672010723784
money,wealth,0.017907974260357222
money,withdrawal,0.13087361677325865
monk,slave,0.08501408812570607
month,hotel,0.05082967309376108
